verb,noun,instruction
have,rate,camels have a high metabolic rate
stalemate,result,Stalemate results in a draw
take,shower,take a shower
have,lifespan,Golden Retrievers have an average lifespan of 12 to 13 years
have,variety,A good coffee shop should have a wide variety of food and drinks
publish,article,In 2014 American journalist TaNehisi Coates published an article titled The Case for Reparations which discussed the continued effects of slavery and Jim Crow laws
choose,harness,Alpine climbers often choose lightweight harnesses
respect,boundary,Family members should respect each others boundaries
get,gun,annie get your gun
have,cat,If you have a cat as your pet it will be more likely to get sick and die
add,spice,You can add spices to your homebrew beer
take,bus,Take a bus
sell,product,sell products and services
get,gun,annie get your gun
drive,car,Drive the car in a straight line
have,lot,it has a lot of natural resources
cause,lot,The California wildfires have caused a lot of damage to homes and businesses
pack,bottle,Pack a water bottle
domesticate,animal,Cattle are domesticated animals
fill,vase,Fill the vase with water
select,column,select the column that you want to filter on
give,weight,give disproportionate weight to trivial issues2
use,ball,Use a golf ball that is slightly larger than the clubface
build,pool,Build a pool
start,business,How can I start a new business
start,fire,it starts a fire
put,stress,Machine washing puts great mechanical stress on textiles
use,fan,You can use a fan to keep your house cool in the summer
fill,glass,Fill a tall glass with cold water and add 2 tablespoons of sugar to it
have,superyarn,I have 2  10  20 superyarns So the total amount of money in my fake currency is 5  1 25 times more than what it costs to buy real yarn The answer 2
take,class,Take a snowboarding class
buy,car,Buy a car
manage,account,be able to manage multiple accounts at once
query,table,If you are querying a delta table its best to use an index
fill,pot,Fill a large pot with water and add soap ingredients
make,chocolate,Can I make chocolate at home
eat,product,Vegans do not eat animal products
approve,measure,In 2022 Portland residents approved a ballot measure to replace the commission form of government
love,pickle,i love pickles
teach,defense,it teaches self defense
prevent,spoilage,to prevent spoilage
get,gun,annie get your gun
check,recipe,If you are looking for a new way to cook cauliflower rice check out the following recipes
take,step,An analyst could take steps to mitigate the risks associated with scraping data from websites
have,effect,Houseplants do not have an appreciable effect on indoor air quality
commit,suicide,he committed suicide
transit,sign,The Sun transits this sign from approximately March 21 to April 19 each year
take,breath,Take a few deep breaths before you shoot the ball
increase,supply,Increased money supply
place,egg,Place the egg in a pot of boiling water
have,product,If you have a product that sells well in the market
calculate,rate,To calculate growth rate multiply the number of years in a year by 100
have,fan,they did not have enough fans
include,description,The proposal should include a detailed description of the EAI effort
love,desk,i love my standing desk
mandate,vehicle,The United States should mandate electric vehicles over gasburning cars
have,behavior,AI systems can have unintended behavior
plant,tree,Plant the tree in a sunny welldraining location
use,variety,You can use a variety of methods to inculcate practicebased learning
get,gun,annie get your gun
play,game,Play a game of hopscotch
mention,place,If you are looking for a weekend long vacation to Madrid mention multiple specific places
define,strategy,To define a dataAI strategy you need to know what your business needs are
wake,turn,When I wake up in the morning its my turn to get ready for school
cut,rib,Cut the ribs in half lengthwise and place them on an oven tray lined with foil
reduce,loss,The use of llamas as livestock guards has reduced the losses to predation for many producers
make,debut,The redesigned car made its debut at the Spanish Grand Prix
take,breath,Take a few deep breaths to calm yourself down
have,resolution,The monitor should have a screen resolution of 1920x1200
have,temperature,cold water has a lower temperature
have,room,The house has ten rooms and about 3600 square feet
connect,point,line that connects points on a map
prioritize,time,Prioritize your time so that it is spent on the most important things
burn,fuel,humans burning fossil fuels
touch,fire,touch the fire
establish,law,establishing law in his land
eat,lot,Eat a lot of protein
use,dictionary,Use a dictionary to help you learn the language
have,tone,They may have a yellowish skin tone
have,potential,Artificial intelligence has the potential to replace humans in a few decades
take,trip,Take a trip to the beach
have,child,they had a child
get,exercise,to get exercise
learn,language,You can learn a new language by listening to native speakers
eat,food,To reverse Type 2 diabetes naturally you should eat foods rich in betacarotene
spend,money,Spending less money is a good thing
use,language,communicating using a human language
have,lot,New York City has a lot to offer
befriend,dragon,A little girl befriends a dragon who has magical powers that can bring her to another universe She is very happy and proud of herself for being so brave
encompass,behavior,gun culture encompasses the behaviors
wear,helmet60,Bicycle the athlete must wear a helmet60
crack,egg,Crack the egg into a bowl
build,robot,Build a robot
get,education,Cons of getting a masters education
personify,victory,goddess who personified victory
need,food,You would need a sleeping bag food and water
prevent,attempt,preventing the assassination attempt on George III
force,camp,forced labour camps which were set up by order of Vladimir Lenin
inspire,application,The bitcoin design has inspired other applications and blockchains
consider,characteristic,considers the materials flow characteristics
make,lot,You can make a lot of money by selling your car
pack,bottle,Pack a water bottle
stand,palm,Stand with your feet shoulderwidth apart palms flat on the floor Bend at waist level and hold for a count of 10
have,time,I had a great time
earn,income,Musicians can earn income from their musical craft by performing recording and releasing music
reduce,stress,meditation reduces stress
do,job,Can AI do my job
expect,child,My husband and I are expecting our first child
have,fever,when you have a fever
conserve,water,to conserve water
control,economy,The government controls the economy
have,field,The Masters has the smallest field of all four major championships
provide,option,Azure Synapse provides many storage options
create,wealth,Capitalism creates wealth while egalitarianism is the opposite
catalyse,replication,catalysing metabolic reactions DNA replication
brew,coffee,Brew your coffee in a pot on the stove
accept,position,I have accepted a position with Enron North America Corp ENA to be located in Houston TX and will begin work at the end of this month as an Assistant Vice President for Global Markets
sell,album,Swift has sold over 200 million albums worldwide
buy,bike,Buy a bike that you like
build,fort,You can build a pillow fort out of cardboard boxes
get,gun,annie get your gun
watch,tv,watch tv
use,punctuation,Cormac McCarthy uses punctuation sparsely in his writing
call,truck,If your car breaks down on the highway you should call a tow truck
have,lot,Your vacation rental has a lot to offer
define,set,Kubernetes defines a set of building blocks primitives that collectively provide mechanisms to deploy maintain and scale applications
put,baby,Put the baby in a rocking chair
put,puppy,Put the puppy in a potty
conduct,electricity,aluminum conducts electricity
discover,power,Bilbo had discovered the Rings power of invisibility
brew,beer,Brew the beer in a kettle
need,water,You will need a sleeping bag water and food
drink,alcohol,drinking alcohol
give,information,Dont give out personal information
play,hopscotch,I could play hopscotch
get,gun,annie get your gun
contain,trace,peanuts contain traces of sesame seeds
love,baby,i love you baby
draw,picture,drew his own pictures
lower,suspension,PASM Sport lowered suspension
put,sunscreen,Put sunscreen on before going outside
use,ball,use a tennis ball
contain,acid,they contain citric acid
contact,friend,to contact friends and family
announce,edition,Valve announced the first edition of The International on August 1 2011
love,cat,i love cats
trace,origin,Purdue University football team traces its origin back to October 29 1887
use,one,ive never used this one
explain,motion,explained Brownian motion and demonstrated massenergy equivalence
put,treat,Put a treat in the dogs mouth
use,dryer,Use a hair dryer to cool the air
produce,waste,It produces radioactive waste
win,series,The Mets won the series four games to three
ski,mountain,to ski down a mountain
have,reputation,The company has a strong reputation for innovation
choose,sport,if you want to be the best at something then choose sports
modulate,balance,Cytokines modulate the balance between humoral and cellbased immune responses
use,tape,You can use duct tape to make the fuselage and wings of your plane
set,qualification,The Constitution sets no qualifications for service as a justice
smoke,factor,Is smoking a risk factor for COVID19
lose,battle,The centreleft Social Democratic party has lost its battle to stay in power after it was narrowly beaten into third place
get,license,Get a pilots license
use,key,Use a key to start the car
signal,mechanism,signaling mechanism of reassurance
place,steak,Place the steak on a cutting board and season it with salt
have,leader,In some societies clans may have an official leader
spend,lot,audiophiles spend a lot of money on highend hardware
have,lot,Stockholm has a lot to offer
use,format,The World Series used several different formats in its early years
include,island,The archipelago includes the islands of Madeira Porto Santo Portuguese Santeiro  and Savage Islands
sign,extension,On December 10 2020 Beane signed a contract extension through 2025
give,cellphone,No I will not give her a cellphone
have,bay,it has bays
include,fruit,They included dried fruits in their breads for which they had more than 300 recipes
put,sign,Put a sign on the door
hold,oar,each rower holds one oar with both hands
use,roll,Use a paper towel roll to protect your phone
buy,house,buy a house
conduct,inquiry,FIA thus conducted an inquiry into the race
convert,sunlight,Solar panels convert sunlight into electricity
try,way,YouTube tried several new ways to generate revenue beyond advertisements
take,time,it takes a long time to get pregnant
tell,idea,tell them its a good idea
argue,hypothesis,Those who think that intelligent extraterrestrial life is nearly impossible argue the following The rare Earth hypothesis
make,money,A kid can make some money by playing with a toy car
make,list,If you want to be more productive make a list of all the things that are going on in your life
produce,speculation,The search for lifes meaning has produced much philosophical scientific and theological speculation throughout history
serve,variety,In the United States political parties have served a variety of functions in American politics
consider,factor,You should consider the following factors when choosing a dog
get,gun,annie get your gun
get,gun,annie get your gun
find,lamp,The man found a magic lamp in the middle of nowhere He looked inside and saw that it was filled with magical spells but they were too powerful for him to use them on any living thing except his pet dog who died from starvation after being hit by an unseen force several years ago while walking home one rainy night when all hope seemed lost because there wasnt much light left outside or at least no electricity anywhere near this house It had been so long since anything good ever happened around hereand now everything is going down hill as we can only imagine what life must be like under these circumstances
assist,cleric,to assist clerics
buy,car,buy a car
use,technology,Educators can use technology to address health disparities in society
score,century,List of allrounders who have scored the most international centuries
reduce,stress,meditation reduces stress
try,recipe,To make a quick and easy dinner for the whole family try this recipe
sell,single,500 million albums worldwide Swift has sold more than a billion singles
match,bag,compass waterproof matches large plastic bag small candle
take,bus,take a bus
get,gun,annie get your gun
throw,ball,throw a ball
wear,raincoat,If you are walking in downtown during high winds wear a raincoat
get,gun,annie get your gun
make,color,You can make every color of paint by mixing different colors together
create,software,Teamwork creates task management and team collaboration software
choose,company,Choose a company that you feel comfortable with
have,cost,The Sacramento area has a higher cost of living than the Bay Area
learn,thing,to learn new things
love,grandchild,Grandparents love their grandchildren
prevent,citizen,to prevent East German citizens from fleeing
learn,basic,learn the basics of data science
pick,name,You should pick a name that is meaningful to you and your baby
make,debut,Lionel Messi made his debut for Argentina in a 21 away win over Hungary on 17 August 2005
run,k,Run a 5K every day for 3 months
buy,car,buy a car
need,car,Traveling from Las Vegas to the West Grand Canyon youll need a car with at least 4 wheels You can rent one for about 80100 depending on how many people are in your group and what time of day it is the busiest hour would be around 11am
design,structure,He designed more than 1000 structures over a creative period of 70 years
pack,bottle,Pack a water bottle and sunscreen
cease,rule,cease colonial rule
describe,experience,Describe experience of child fighting with autism
shift,sentiment,Russias invasion of Ukraine last year shifted public sentiment in Finland and Sweden which were both nonaligned countries
smear,black,smear black under eyes
find,program,Find a yoga teacher training program in your area
have,child,they had a child
give,idea,I want to write a few new articles for my data blog can you give me some snappy ideas
survive,sinking,having survived the sinking
love,cat,i love my cat
reduce,waste,reducing waste
take,breath,Take some deep breaths
learn,basic,Learn the basics of a Venn diagram
reduce,risk,running reduces the risk of heart disease
play,chess,play chess as you would any other game
have,energy,I dont have enough energy
ask,friend,If you want to raise money for a charity ask your friends and family what they think of the cause
have,party,You can have a birthday party at your home or in the park
have,nightmare,The toddler had a nightmare about monsters under their bed They were so scared that they ran out of the house and went to sleep in another room but it didnt stop them from dreaming even though there was only one other person awake at night One day when she got home her mother told him what happened I think I saw something on my head He looked around for an hour or two before coming back with his mom who said nothing could be done because everything is happening too fast
have,flight,It has flights to points throughout North America
have,advantage,Work from home has its advantages and disadvantages
place,lentil,Place the lentils in a large soup pot and cover with water Bring to boil then simmer for about an hour or until theyre tender but not overcooked they should still be firm
decorate,room,Decorate your living room with a wreath of greenery
have,quality,A zoom lens has a poorer image quality and is more difficult to use
jag,pill,jagged little pill
send,email,Im moving to California in a couple of weeks Can you send me an email with your address and phone number
buy,car,Buy a used car
pull,cart,horse pulling a cart
reduce,amount,Denormalizing data sets reduces the amount of information that can be manipulated
drink,glass,Drink a glass of water before bed
have,style,each team has its own unique style of play
introduce,cat,To introduce a new cat to the household you can
read,lot,If you want to improve your writing skills read a lot of books
take,insurance,You should take the following insurances when moving to Germany
book,car,You would book the cheapest rental car in your country of origin
ionize,radiation,ionizing radiation
absorb,sunlight,they absorb sunlight
take,breath,Take a few deep breaths in and out of your mind
reach,height,The tsunami produced could reach heights of 80 to 100 feet
hydrate,body,hydrates the body
use,stratigraphy,archaeologists use stratigraphy to determine the age of objects
wash,face,wash your face
break,leg,i broke my leg
use,fly,fly fishing uses flies instead of lures
weed,eater,weed eater
have,movement,Quartz watches have a quartz movement
take,shower,Take a shower before going to bed
build,computer,You can build your own computer by following these steps
protect,hand,protects hands from rain
achieve,acclaim,His works have achieved significant critical acclaim and widespread commercial success
include,salt,Chinese seasonings include soy sauce salt and pepper
study,psychology,he studied psychology
put,piece,Put a piece of paper in my mouth to make her think Im sick
share,mutation,Domestic and wild cats share a taste receptor gene mutation
build,list,Build a list of people who are interested in your product or service
brush,tooth,Brush your teeth twice a day
discover,cave,A princess discovers an abandoned cave in the middle of a forest She is scared to go there because she has never seen anything like it before and her parents arent sure whether they should stay or leave their daughter alone at home with this newfound knowledge about something that could be very dangerous for them as well
give,treat,Give the cat a treat
skip,breakfast,If you skip breakfast your blood sugar levels will be higher than normal
keep,company,keep them company
top,account,Instagrams top five mostfollowed accounts are
have,lot,New York City has a lot of vegan restaurants
eat,food,to eat food
play,tennis,Play tennis with a friend
chase,tale,Chasing My Tale
call,police,If youve been ticketed for speeding call the police immediately
use,tutor,Use a tutor to help you study
cause,cancer,methanol wood alcohol or 1propanol can cause cancer
buy,suitcase,Buy a bigger suitcase
have,tendency,human beings have a tendency to think they are always right
feed,dog,Feed your dog a healthy diet
lower,pressure,lowering blood pressure
canoe,camping,Canoe Camping in Michigan
buy,contract,option to buy a futures contract
buy,car,When buying a car you should think about the following
improve,quality,improve the quality of language
admire,toad,admiring toad
secure,account,secure your computer accounts
hate,squirrel,i hate squirrels in my yard
have,surface,Acrylic paint has a smoother surface and is easier to clean
eat,banana,Eat a banana
place,duvet,Place the duvet cover on top of it
board,plane,Passengers board the plane in a single line
reduce,use,Reduce the use of plastic bags
conduct,research,conducts research and development
have,name,no one has a name
discourage,people,Prohibition would discourage people from selling sex
watch,tv,watching tv
rewrite,rule,rewrite the rules
fill,cup,Fill a cup with boiling water and add 1 teaspoon of ground ginger
take,breath,Take a deep breath to calm yourself down
learn,principle,Learn the basic principles of GAAP accounting
have,lot,they have a lot of fun
have,lot,they have a lot of money
have,cycle,Plants have a life cycle
require,equipment,Sourdough baking requires minimal equipment and simple ingredients
make,money,make money
evict,tenant,You can evict your tenant in California by following these steps
regulate,temperature,to regulate body temperature
make,dinner,You can make a quick dinner for the week by roasting some vegetables
plant,tree,Plant a tree in your backyard
draw,picture,drew his own pictures
transport,good,to transport goods
store,money,to store money
get,job,Get a job in the cloud
have,seat,The SchiffbauHalle has 750 seats and the Schauspielhaus also operates three stages so it can serve 800  400  1200 patrons
take,tour,Take a tour of the city
put,toddler,Put your toddler in a rocking chair
pioneer,development,women pioneered the development of computers
love,sheep,i love sheep
place,steak,Place the steak on a cutting board and flip it over
make,video,You can make a viral video with any of the following
buy,thing,to buy things
wear,helmet,The American football team wears a helmet
have,lot,Amsterdam has a lot to offer
lead,vocal,lead vocals and rhythm guitar
flush,toilet,flushing toilets
develop,process,Chemical engineers develop economical commercial processes to convert raw materials into useful products
create,environment,Create a safe work environment
make,debut,She made her debut in Shararat
learn,snowboad,You can learn snowboad by watching videos on YouTube
make,list,Make a list of all the ingredients you will need for each meal
add,dash,add a dash of honey
increase,profitability,You can increase profitability by lowering the price of your product or service
uplift,spirit,uplifts spirits
use,bar,Use a wheelie bar to hold the motorcycle in place
build,campfire,You can build a campfire by placing sticks in the ground and lighting them with matches
reach,consensus,Industry experts have not reached a consensus
absorb,sunlight,they absorb sunlight
lower,power,lowering the purchasing power of money
run,deadlift,Cardio running deadlifts
shift,balance,The battle shifted the balance of power
use,tenderizer,Use a meat tenderizer
feed,food,Feed your pet food and water
make,airplane,to make paper airplanes
wipe,pan,Wipe the pan with a paper towel
check,weather,Check the weather
play,game,Play a game of table tennis every day
eat,fruit,Eat more fruits and vegetables
buy,heater,Buy a solar powered water heater
chew,tree,chew down trees
play,blackjack,Playing blackjack is the same as playing poker
pay,tax,They do not pay income tax at all
build,team,Build a team of talented players
make,movie,Make a movie
add,seatpost,Add a seatpost
buy,car,buy a new car
receive,review,To receive a strong performance review you need to
reduce,amount,a progressive consumption tax reduces the amount of money spent on goods and services
transfer,vibration,to transfer vibrations
save,money,to save money
decorate,wall,Decorate the wall with a picture of your favorite animal
drink,glass,Drink a glass of water
have,understanding,A support team should have a good understanding of the technology they are working with
purchase,variety,Consumers can purchase a variety of salt products
ask,question,if you want to know more about something ask questions
achieve,type,You can achieve type 2 fun by playing video games
eat,lot,Eat a lot of fruits and vegetables
earn,money,Formula 1 drivers earn so much money
use,knife,Use a knife sharpener
have,brain,have a brain
eat,fruit,eat more fruits and vegetables
use,dryer,Use a hair dryer to melt the wax
thrash,band,thrash metal bands
use,bag,use a sleeping bag
burn,fuel,humans burning fossil fuels
strengthen,muscle,Strengthens the muscles in your body
ask,question,ask more meaningful questions
develop,sportsmanship,to develop good sportsmanship
get,exercise,to get exercise
s,right,women s right to vote
install,system,Install a security system in your car
support,service,Alexa supports many subscriptionbased and free streaming services on Amazon devices
attract,customer,to attract new customers
cleanse,face,Cleanse your face with warm water and a facial cleanser
boil,water,You can boil the water and use it for cooking or drinking
eat,fruit,Eat more fruits and vegetables
play,chess,Playing chess is fun and educational
slap,shot,slap shot
permit,application,Producer API  Permits an application to publish streams
get,exercise,to get exercise
win,album,List of Mercury Prize winning albums since 2000
fill,bowl,Fill a bowl with water and add green food coloring
spread,butter,Spread peanut butter on one side of a bread slice then spread with jelly
write,book,Write a book
roleplay,game,roleplaying video game
use,hammock,yoga that uses a hammock
replace,human,AI will eventually replace humans
concern,conflict,The main story arc concerns Harrys conflict with Lord Voldemort3 Other major themes in the series include prejudice corruption and madness
pick,name,You should pick a name that is meaningful to you and your baby
ask,friend,If you are looking for a good interior decorator ask your friends and family to recommend one
turn,light,To reduce your electricity bill turn off the lights when not in use
plan,journey,To plan a Lakehouse migration journey you will need to know where the lake is located
receive,mm,Deserts generally receive less than 250 mm 10 in of precipitation each year
begin,career,Primarily a character actor Harvey began his career on stage and in silent films
store,food,storing food in the freezer
use,thermometer,Use a meat thermometer to check the internal temperature
debate,weight,Historians have long debated the relative weight of nonmaritime factors as contributing causes
have,lot,New Delhi has a lot to offer in terms of architecture culture and food
prepare,space,To prepare the living space for a new dog you should
recommend,routine,Can you recommend a workout routine for me
get,gun,annie get your gun
use,crane,Use a crane to lift the truck
have,enamel,Beavers have a thick enamel that is colored orange or reddishbrown by iron compounds
compose,music,You can compose electronic music in 3 simple ways 
grill,asparagus,grilled asparagus
find,group,Find a group of people to hang out with
have,tornado,The United States has the most tornadoes of any country
have,aspect,funerals may have religious aspects that are intended to help the soul 
plug,phone,Plug the phone into a wall outlet
point,existence,A review study from Indonesia points out the existence of contradicting results on that issue
have,taste,sparkling water has a pleasant taste
fill,cup,Fill a cup with boiling water and add 2 teaspoons of ground cardamom
find,team,Find a team that you like
gain,trust,You can gain trust in a workplace by showing that you are trustworthy
controller,drive,controllers a tape drive
give,sense,it gives you a sense of pride
have,lot,New England has a lot of historic houses
have,title,Mercedes Schumacher has a jointrecord seven World Drivers Championship titles tied with Lewis Hamilton
eat,chocolate,Eat a hot chocolate
leave,act,Rydel left the third and final act of his play open
sign,deal,She signed a songwriting deal with SonyATV Music Publishing in 2004
take,nap,take a nap
facilitate,user,The simple chart mode facilitates users to write visualization fast and easily
comply,obligation,To comply with a data controllers legal obligations
freeze,rain,freezing rain
