verb,noun,instruction
choose,boat,Choose a boat that meets your needs
take,day,If you want to be more productive take a day off from work
form,union,Egypt and Syria formed a sovereign union
boil,egg,You can boil an egg in a pot of water
pack,variety,Pack a variety of snacks to keep the kids full and happy
employ,algorithm,CURE employs a hierarchical clustering algorithm
have,tail,jindo dogs have long tails
cook,brisket,Cook the brisket over mediumhigh heat until it is no longer pink
make,cup,To make a traditional cup of English tea first place the loose leaves in an ovenproof saucepan and add enough water to cover them
reduce,amount,recycling reduces the amount of waste produced
bring,bag,You could bring a bag of chips
need,address,AnswerBTell your CEO that youre going to be writing this report on how well the company supports X capabilities You will also need an email address so they can access it from their phone or computer at any time during normal business hours Monday through Friday
drain,portion,The Tuolumne River drains the entire southern portion of Yoshimita an area that is approximately 1200 square miles 4000 km2
hunt,dog,hunting dog
sell,record,Swift has sold over 200 million records globally
have,property,matter that has a property of electric charge
have,closure,it has a magnetic closure
designate,force,troops designated special forces
have,risk,indoor soccer has a higher risk of injury
have,range,Morocco has a wide range of biodiversity
use,computer,Use a computer to play video games
express,idea,be able to express ideas
donate,money,Donate money to a homeless person
use,peg,Use a tuning peg to play the chord
include,etching,Processes include photolithography etching and diffusion
hang,parrot,Moluccan hanging parrot
add,tablespoon,To thicken a dish quickly without adding cream or starch add 2 tablespoons of flour to the mixture
like,hair,she likes long hair
have,friend,I have a friend who lives in Minneapolis and is looking to move here He has been working for the same company since 2000 but they are moving out of state because its too far away from their home town MidAtlantic If you can help him with this please let me know
cough,fever,coughing fever
reject,design,Apple rejected the design by committee approach
grease,pan,Preheat oven to 425 degrees F Lightly grease a 9x9inch baking pan with nonstick cooking spray or butter then roll out the dough until its about 12 inch thick and cut in half lengthwise
identify,case,Identify the business use case
plan,session,You can plan a training session by looking at the goals you want to achieve
describe,temple,The book of Ezekiel1 describes the temple in detail
solve,paradox,To solve the paradox you need to find a solution for fermi
take,time,If youre nervous about giving a speech take some time to calm down and relax
take,bus,take a bus
make,list,make a list of all the things you miss about yourself
use,peeler,Use a coconut peeler
break,norm,To break a social norm without breaking the law you can
need,team,You need a team of people who are passionate about what youre trying to achieve
have,pitch,Indian music has a higher pitch
take,break,Take a break from the habit
place,elephant,Place the elephant into a fridge
buy,bike,Buy a bike that you are comfortable with
hijack,airliner,terrorists hijacked four commercial airliners
get,gun,annie get your gun
win,tournament,Austria Wien won the tournament for 27th time a record
pour,coffee,Pour the coffee into a widemouthed glass
produce,trajectory,to produce trajectories of an endeffector
bake,cake,Bake the cake in a preheated oven at 350 degrees
lose,friend,I lost a dear friend last year She was an amazing woman who always had my best interest in mind and made me laugh so hard she would never get tired of talking about it
provide,benefit,Strength training also provides functional benefits
discuss,issue,to discuss important issues
increase,size,The Super Mushroom increases the characters size and allows them to break certain blocks
avert,war,averting wars
win,title,The club has won 13 league titles including one unbeaten title a record 14 FA Cups
eat,breakfast,eat breakfast
pour,espresso,Pour the espresso into a coffee maker and turn it on
combine,ingredient,To make Cincinnati style Venison Chili combine the following ingredients in a large saucepan Bring to boil over mediumhigh heat and simmer until reduced by half about 30 minutes
fill,filter,Fill a coffee filter with water and place it in the AreoPress
get,control,September 2009 Synterra Group of Companies GC got operational control
need,juice,You will need vodka lime juice and ice
share,border,Greece shares land borders with Albania to the northwest North Macedonia and Bulgaria rght
choose,mountain,Choose a mountain that is close to where you live
drink,glass,Drink a glass of water before bed
assign,tag,It assigned to every item of data a structured alphanumeric tag
use,glue,Use wood glue to join the pieces together
take,step,To become a data engineer for absolute beginner you should take the following steps
receive,coverage,His outspoken views have received significant media coverage
save,world,edmund saves world
whisk,ingredient,Preheat oven to 350 degrees F Line a 9x9inch baking pan with foil or parchment paper and set aside 2 tablespoons of vegetable shortening or butter In another large bowl whisk together the dry ingredients until theyre well combined then add in 1 teaspoon vanilla extract for an extra sweet treat Sift 14 cup confectioners sugar into each cookie batter mixture just before you begin mixing it up
create,connection,Inperson contact creates more impactful human connections
need,cup,To make Indian Lemonade you will need 1 cup 240 ml lemon juice 2 tablespoons of sugar 12 teaspoon and 4 to 5 slices fresh ginger
write,packet,You can write a promotional packet in any of the following ways
boost,creativity,Why questions boost creativity during brainstorming sessions
offer,discount,Israel offers huge discounts to Chicago Booth students spring break trips
have,population,The Kuova district has a population of around 31000
lead,movement,Talabani led the Kurdish separatist movement in northern Iraq
use,toothpick,Use a toothpick to scrape off the back of your toothbrush
have,property,cinnamon has antiinflammatory properties
have,color,Styrofoam has a distinctive blue color
take,bunny,Take your bunny to the bathroom
eat,fruit,Eat more fruits and vegetables
create,chatbot,Create a chatbot
mean,chief,Sardar meaning chief in Hindi
have,town,It has a small town feel
bear,way,Born This Way
absorb,water,It absorbs more water
understand,datum,To understand event based data you need to know what is happening
use,bar,Use the search bar
reduce,congestion,Free public transportation reduces congestion
take,cat,Take your cat to the vet
use,shovel,Use a shovel to dig holes in the ground
play,game,people like playing video games
have,day,have a good day
feed,milk,You should feed your baby breast milk
hold,club,To hit a bunker shot hold the club in your left hand
neglect,disease,5 neglected tropical diseases
lose,weight,You can lose weight by eating a lot of fruits and vegetables
have,sense,boys have a better sense of humor
burn,acre,The 1964 Coyote Fire burned 67000 acres 270 km2 of backcountry along with 106 homes the smaller but quickly moving Sycamore
teach,child,In order to help alleviate food insecurity teachers should teach children about the importance of a healthy diet
take,medication,Take a medication
write,line,Write the lines in a voice that is easy to understand
win,championship,they have won two national championships
choose,colour,Choose a colour that compliments your skin tone
pop,balloon,You can pop a balloon by blowing air into it
make,dinner,You can make a simple dinner for the kids that they will enjoy
fill,pot,Fill a pot with water and add coffee beans
alter,time,refraction can alter the time of sunrise by changing its apparent position
have,climate,It has a humid subtropical climate with warm summers and cool nights
hit,ball,to hit the ball
teach,child,they teach children about the world
install,floor,To maximize the space in your garage install a concrete floor
describe,branch,Article I describes the legislative branch of government
get,gun,annie get your gun
critique,concept,Nietzsche and Haraway critique the concept of scientific knowledge
use,treat,Use a treat to train your dog
want,tortoise,I want a pet tortoise Its the only thing that will make me happy and it can live to be 100 years old
paint,wall,Paint the walls a neutral color
symbolize,tomb,Easter eggs symbolize the empty tomb of Jesus
absorb,sunlight,they absorb sunlight
play,game,You can play a game of Monopoly
square,c2,mass m with the speed of light squared c2
fill,cup,Fill a cup with hot water and add 2 teaspoons of sugar
absorb,sunlight,they absorb sunlight
have,role,Each branch of the federal government has a distinct role
give,advice,Id like to get a dog Can you give me some advice
seek,job,seeking a job
do,homework,do homework
take,one,i took the one less traveled by
play,game,Play a game of hopscotch
give,treat,Give the cat a treat
have,income,You should have 2 incomes if you want to be financially independent
take,care,Take good care of your horse
persuade,son,He might persuade his son to sign with Big State
like,movie,i like the movie because its funny
open,account,You can open a bank account at any of the following banks
take,baby,Take your baby to a pediatrician
take,bus,You can take a bus from the airport to downtown
leave,car,Dont leave your car unattended on the road
read,map,he could not read maps
have,influence,Middle eastern music has a strong influence on the Western musical tradition
have,virus,It has a virus on it
have,degree,You must have a bachelors degree in computer science or related field
eat,shake,Eat a protein shake
provide,companionship,Pets provide companionship
place,dough,Place the dough on a parchment paper lined baking sheet and bake at 400 degrees for 20 minutes
use,scheme,Pacific Surfliner uses a unique blue and silver paint scheme
add,fireplace,add a fireplace to the living room
buy,car,Buy a car
increase,rate,aerobic exercise increases heart rate
have,impact,The introduction of broadband in the early 2000s has had a positive impact on Indian movie culture
get,gun,annie get your gun
make,sense,it makes sense if everyone agreed to do so
use,screwdriver,Use a screwdriver to loosen the bolts holding it in place
use,lamb,To make the best shepherds pie you should use a good quality lamb
use,cleaner,You could use a vacuum cleaner to clean your house
take,advantage,If youre playing against a strong opponent take advantage of the fact that each player has an equal chance to win
get,gun,annie get your gun
drink,glass,Drink a glass of water
require,separation,many southern states explicitly required separation of powers
sourdough,water,sourdough starter water and yeast
use,net,Use a net to catch fish
press,button,Press the power button on your Tesla Y
reduce,risk,Because a statin reduces the risk of heart disease
willie,brant,willie brant and yasser arafat
have,vision,Tesla has a longterm vision for the future of electric cars The companys technology is already being used by other companies including Apple and Google to create new products that will revolutionize how people use energy in their daily lives
use,intelligence,i use artificial intelligence in my work
place,steak,Place the steak on a cutting board and season it with salt
achieve,accuracy,XGBoost model often achieves higher accuracy
eat,fruit,Eat more fruits and vegetables
make,subcontinent,The following countries make up the Indian subcontinent
have,chance,when they have a chance to
eat,breakfast,eat breakfast
enjoy,rush,they enjoy the adrenaline rush
discover,part,A botanist discovers a part of the forest where plants are communicating with each other
wipe,grease,Wipe the grease off with a paper towel
test,knowledge,Test your knowledge
obtain,value,important for obtaining value
use,knob,Use the shift knob to change gears
reduce,congestion,public transportation reduces congestion
give,advice,Id like to get a dog Can you give me some advice
use,screwdriver,Use a screwdriver to pry the hole out
have,neighborhood,East County San Diego has many great neighborhoods to raise a family
strengthen,muscle,strengthens muscles
work,calorie,working out burns calories
add,number,How to add two numbers
play,game,Play a game of hide and seek
have,heart,I have a broken heart
visit,website,Visit the Walt Disney World website to plan your trip
take,dog,Take your dog to the vet for a medical checkup
have,movement,Quartz watches have a quartz movement
use,clifford,You can use Cliffords strengthsfinder as a tool to evaluate your employees
use,spoon,Use a spoon to scoop out the cubes
get,gun,annie get your gun
use,bench,You can use a weight bench to work out your arms and legs
bribe,member,foreign powers bribed Sejm members to paralyze its proceedings
leave,scar,left a lightning boltshaped scar on his forehead
reduce,number,It reduces the number of votes cast in a single election
have,family,If you have a family of four it would be best to shop at the same store every week
use,field,used an electric field as a grid was not new
store,datum,They store current and historical data in one single place2 that are used for creating analytical reports
contain,disc,Lenticular galaxies contain a largescale disc but do not have spiral arms
use,machine,You can use a time machine
maintain,health,to maintain good health
use,mug,Use the mug to keep your coffee hot
suggest,country,If you want to take a beach vacation I would suggest the following countries
take,shower,Take a shower
drink,glass,Drink a glass of water before bed
use,gun,Use a nail gun to hold the painting in place
heat,body,heats up your body
find,job,Find a job that interests you
take,shot,Take a few practice shots every day
get,help,You can get help for an adult relative with a serious mental illness by talking to your family doctor
raise,forefinger,raises a forefinger
enter,lot,On April 16 1987 a student at MurrayWright entered the school parking lot
regulate,trading,regulating the secondary trading of securities
sell,house,You can sell a house for less than you think
cure,pork,Eggs cured pork and black pepper
drink,glass,Drink a glass of water
prevent,disease,prevent disease
check,hotel,If you are looking for a place to stay while vacationing in Palm Springs California then check out the following hotels and motels
make,toast,You could make French toast with butter eggs and cheese
fly,banana,flying microtonal banana
understand,law,Understand the three laws of thermodynamics
have,selection,We have a great selection of cabins in Speedway Indiana
get,gun,annie get your gun
shoot,sport,Shooting sports is a group of competitive and recreational sporting activities
use,kit,Use a bicycle maintenance kit to keep your bike running smoothly
target,muscle,The exercises target muscles that support and stabilise the body
use,method,To do forecasting with small datasets you can use the following method
measure,cm,wingspan measuring up to 24 cm
eat,fruit,eating more fruits and vegetables
turn,light,To reduce your electricity bill turn off the lights when you are not using them
1MDB,saga,1MDB saga and scandal
have,faucet,Dave I have a leaky faucet in my bathroom Can you please fix it for me
increase,motivation,To motivate yourself to learn think of a positive thing you can do that will increase your motivation
take,trip,In Florida you can take a road trip through the Everglades National Park There are many great stops on your way to New York including The Statue of Liberty at Washington Dulles International Airport Walt Disney World Center Staten Islands Ferry Landing Museum and Aquarium Fort Titusville Historic District Visitor center for Native American artifactfilled displays
consider,factor,If you are looking for a place to live consider the following factors
change,type,You can change the type of a column by clicking on it
merge,change,When the team has renamed master branch to main you can merge changes in your feature with that
play,blackjack,Playing blackjack is the same as playing poker
earn,nickname,His methodical style earned him the nickname Slow Mo
wellcrafte,blade,wellcrafted obsidian blades
have,plan,Do you have a birth plan
platelet,plasma,platelet rich plasma
topearne,territory,Other topearning territories as of July 31 were the United Kingdom 62 million
run,pass,wide receiver could run a 20 yard touchdown pass to the end zone
complete,project,completing the project
romania,history,Romanias history and founding dates back to ancient times
inverse,law,inverse proportional law
carry,club,You should carry a golf club with you at all times
have,lot,it has a lot of replay value
eat,cream,eating ice cream
like,pencil,i like this pencil
need,potato,To make garlic mashed potatoes youll need 1 mediumsized russet potato 2 tablespoons butter or margarine 12 teaspoon each salt and pepper to taste
have,capitalization,In 2007 Nokia had a market capitalization of 110 billion
check,line,Check the fuel line
receive,review,The Guardian Gloria Emerson of the New York Times If I Die in a Combat Zone Box Me Up and Ship me Home received warm reviews from critics
include,fruit,Healthy snacks for kids include Fruits like apples peaches and kiwis
have,movement,Quartz watches have a quartz movement
require,lot,biathlon requires a lot of physical effort
diabete,history,cystic fibrosis Chronic Obstructive Pulmonary Disease COPD Sickle Cell Deficit Hypercholesterolaemia Diabetes Heart Failure A History of Smoking Streptococcus pneumoniae Bacteria
make,smoothie,Make a vegetable smoothie
place,cloth,Place a wet cloth in the babys mouth to soothe them
lose,control,Grillo lost control of a Chevrolet K5 Blazer
use,filter,Use a coffee filter
use,shingle,Use shingles
win,award,How many AllStar Game MVP awards has Jordan won
include,service,The wraparound plan typically includes formal services and interventions
dribble,ball,dribble the ball down court
have,function,Modern pacemakers usually have multiple functions
merge,insertion,Timsort merge sort insertion
india,unicorn,indias most famous unicorn
romaine,tomato,romaine lettuce tomatoes and olives
eat,fruit,Eat more fruits and vegetables
protect,phone,protect phone from scratches
defend,state,She defended the Malwa state against intruders
involve,subdiscipline,The study of rocks involves multiple subdisciplines including petrology and mineralogy
buy,car,You can buy a used car at the dealership
bring,stroller,You should bring a stroller
fill,glass,Fill a martini glass half way with club soda Pour in your favorite cocktail ingredients and stir to combine
visit,museum,Visit the national museum of Sweden
lose,weight,to lose weight
take,breath,Take some deep breaths
have,ball,If you have 13 identical balls that weigh the same and out of them one is an odd ball weighing less or more The answer 13
keep,liter,always keep 250 liters of water in their truck
need,soil,To grow tomatoes in your back yard you will need a soil that drains well
use,book,You can use a book to find information about the world around you
feature,reactionless,it features a reactionless tightening
keep,notebook,Keep a notebook with you at all times
establish,college,established a technical college
have,lot,it has a lot to offer
place,spaghetti,Place the spaghetti in a large pot and cover with water Bring to boil then simmer until al dente
have,talent,They have a natural talent for athletics
set,rate,The Federal Reserve sets interest rates
learn,algorithm,learning algorithms by providing training data11
make,pizza,To make a pizza you first need to prepare the dough You can do this by hand or with an electric mixer and your favorite toppings such as pepperoni
chew,toy,chew toy
make,barrel,Make a rain barrel
use,map,Use a map to navigate through the forest
make,deal,On the Shark Tank episode originally airing in October 2012 Lori Greiner made a 20 equity stake deal with Krause for 200000
start,game,Her senior year she started all 21 games
rose,carnation,lilies roses carnations daisies
purchase,pair,Purchase a new pair of shoes
make,list,Make a list of people you want to make friends with
bake,soda,Baking soda is a chemical compound that reacts with water to produce carbon dioxide
need,block,Youll need a block of paper
amass,evidence,Justice Department and FBI investigators have amassed new evidence indicating possible obstruction by former President Donald Trump in the probe into classified documents found at his Florida estate
have,list,You should have a list of all the items you need to buy every week
have,population,they have a larger population
use,snorkel,Use a snorkel to remove the mask from your face
take,shower,Take a hot shower
buy,bike,Buy a bike that you feel comfortable riding
use,brake,Use the brakes
drink,glass,Drink a glass of water before bed
capture,championship,In 1989 Kawasaki captures its first National MX championship on a
convert,sunlight,They convert sunlight into electricity
weigh,kg,Males weigh 2057 kg
have,chlorophyll,they have chlorophyll
make,list,Make a list of all the things you want to do
place,slice,Place a slice of bread on the grill and cook it over mediumhigh heat
have,government,The United States has separate federal state and local governments with taxes imposed at each of these levels
support,underdog,Why do you support the underdog in sports
claim,primacy,The Archbishop of Braga in Portugal has claimed this primacy over the whole Iberian Peninsula
reduce,latency,You can reduce the latency of your API by using a proxy server
clean,outside,to clean the outside of your house
assume,presidency,Theodore Roosevelt assumed the presidency at age 42
analyze,datum,scientists can analyze complex biological big data to find novel associations
take,list,Take a shopping list and write down what you want to buy
place,pomegranate,Place the pomegranate in an airtight container
launch,campaign,launching the Think different campaign
have,melody,award winning songs have a melody
eat,diet,Eat a diet rich in fruits and vegetables
replace,human,robots can replace humans
drink,glass,Drink a glass of water before going to bed
destroy,world,Will artificial intelligence destroy the world
pull,star,gravity pulls the star down
put,treat,put a treat in their food bowl
defend,client,defends clients in court
cause,cancer,Ionizing radiation can cause cancer
burn,cent,He burned an estimated 90 per cent of his total work
place,pasta,Place the pasta in a large bowl and cover with cold water
see,system,October and November see lowpressure systems
have,receptor,they have olfactory receptors
lose,friend,i lost my best friend
impact,human,The effects of climate change are impacting humans everywhere in the world
remove,display,In 2021 YouTube removed public display of dislike counts on videos
slap,shot,slap shot
find,way,Find a way out of the maze
take,trip,Take a trip to the beach
take,bath,take a hot bath
estimate,beginning,Muslims can usually estimate the beginning
regulate,ph,kidneys can regulate the plasma pH
commemorate,independence,to commemorate the independence of Texas
record,person,Recording a persons last words
learn,thing,to learn new things
find,person,Find a person who is interested in you
share,response,Can you share a response of politely informing the customer that we dont support
use,mirror,use a magic mirror
have,button,I have a belly button
keep,mind,Playing a musical instrument can keep the mind sharp
have,homework,I dont have the homework to turn in
have,variety,Singapore has a wide variety of food to choose from
place,breast,Place the chicken breasts in a ziploc bag and freeze for up to 3 days
turn,computer,Turn the computer off and unplug it
use,mop,Use a wet mop
get,gun,annie get your gun
sell,record,Madonna has sold over 300 million records worldwide She is the bestselling female recording artist of all time with a record 11 consecutive years earning more than 15 billion in revenue from her concert tours and merchandise sales alone
take,class,To learn how to skateboard you can take a class at your local community college
have,break,Schools and universities typically have a summer break
take,factor,The index does not take into account several factors such as the net wealth per capita
prevent,driving,speed limit prevents dangerous driving
take,walk,Take a walk in the woods
have,expectancy,Singaporeans had the longest life expectancy of any country
place,potato,Place the potato in a roasting pan cover with foil and bake at 400 degrees for 1 hour
build,model,Build your own language model
prevent,abuse,To prevent abuse of LLMs it is important to make sure that students are not enrolled in unsuitable courses
use,pair,Use a pair of tongs
injure,knee,He may have injured his knee
eat,zombie,eat the zombies
have,foundation,Apache Spark has its architectural foundation in the resilient distributed dataset RDD
play,match,failure to play their semifinal match
slap,shot,slap shot
have,penchant,had a penchant for literature
decorate,cake,Decorate a cake
use,calendar,Use a calendar to keep track of your meetings
use,towel,Use a paper towel to dry it off
hold,camp,The Patriots hold training camp and practices just outside of Gillette Stadium in Foxborough
involve,pattern,it still involves active brain patterns
reduce,fat,To reduce the fat and keep you in good shape drink more water
decrease,risk,It can also decrease the risk of coronary heart disease
remove,impurity,removes impurities from water
arrange,desk,You can arrange a desk in any way you want
clean,coffee,clean the spilled coffee with a paper towel
drink,glass,Drink a glass of water
organize,meeting,Organize your meetings in groups of two or three
have,lot,when you have a lot of stuff to talk about
have,sugar,have sugar added in the drying process
have,lot,West Bengal has a lot to offer
replace,human,robots will replace humans in the near future
use,lawnmower,using a lawnmower
buy,ticket,Buy a lottery ticket
take,nap,Take a nap
build,mass,Strength training builds muscle mass and increases stamina
cofounde,nfwa,Cesar Chavez cofounded the National Farm Workers Association NFWA along with Dolores Huerta
have,experience,Microsoft Office users moving to Google Docs have had a positive experience
develop,symptom,a third of people who are infected do not develop noticeable symptoms
mix,cup,To prepare without baking dessert recipe  Banana Pudding mix 1 cup chopped banana with 2 tablespoons sugar
use,sandpaper,Use sandpaper to smooth out any rough edges
manage,market,The MAS manages the SGD market by intervening in other markets It does this via its foreign exchange mechanism which it has been doing since 1981
sell,stock,selling stocks short is a high risk investment technique
choose,phone,Choose a phone that you like
remove,particle,It removes food particles from your teeth
resurrect,person,resurrect dead person
reduce,risk,It reduces the risk of heart disease
accept,change,accept the change
